centroid_bass_hz,centroid_counter_hz,centroid_drums_hz,centroid_hats_hz,centroid_lead_hz,centroid_pad_hz,crest_factor_db,label,max_simultaneous_layers,pct_time_over_1,pre_tanh_peak,true_peak
383.2,900.7,303.3,5467.7,2408.0,430.5,9.73,unknown_103[default],6,0.00156,1.4708,0.4534
383.2,900.7,303.3,5467.7,2408.0,430.5,9.73,unknown_103[counter_on],6,0.00156,1.4708,0.4534
383.2,900.7,303.3,5467.7,2408.0,430.5,9.73,unknown_103[max_stack],6,0.00156,1.4708,0.4534
460.4,,304.4,5466.7,2668.9,500.4,9.16,bonniean_2[default],5,0.00584,1.6784,0.4683
460.4,1062.2,304.4,5466.7,2668.9,500.4,9.09,bonniean_2[counter_on],6,0.00731,1.6785,0.4705
460.4,1062.2,304.4,5466.7,2540.7,500.4,9.86,bonniean_2[max_stack],6,0.0011,1.4941,0.4529
376.9,1127.8,303.9,5466.4,2791.2,604.5,10.1,adelante_2[default],6,0.00107,1.499,0.4551
376.9,1127.8,303.9,5466.4,2791.2,604.5,10.1,adelante_2[counter_on],6,0.00107,1.499,0.4551
376.9,1127.8,303.9,5466.4,2791.2,604.5,10.1,adelante_2[max_stack],6,0.00107,1.499,0.4551
430.2,,305.0,5466.4,2400.9,436.4,9.76,bridgeov_4[default],5,0.00434,1.6472,0.4686
430.2,747.6,305.0,5466.4,2400.9,436.4,9.76,bridgeov_4[counter_on],6,0.00526,1.6964,0.472
430.2,747.6,305.0,5466.4,2294.3,436.4,10.28,bridgeov_4[max_stack],6,0.00076,1.4902,0.452
354.2,968.1,303.2,5464.9,2452.8,434.3,9.92,beliketh_2[default],6,0.00162,1.5396,0.4591
354.2,968.1,303.2,5464.9,2452.8,434.3,9.92,beliketh_2[counter_on],6,0.00162,1.5396,0.4591
354.2,968.1,303.2,5464.9,2452.8,434.3,9.92,beliketh_2[max_stack],6,0.00162,1.5396,0.4591
387.0,,302.6,5466.6,2351.3,393.1,9.74,tifa_2[default],5,0.00378,1.7456,0.4707
387.0,605.9,302.6,5466.6,2351.3,393.1,9.73,tifa_2[counter_on],6,0.00495,1.8455,0.476
387.0,605.9,302.6,5466.6,2202.0,393.1,10.18,tifa_2[max_stack],6,0.00067,1.4814,0.4512
351.3,912.2,302.0,5468.3,2410.0,552.4,9.74,favourit[default],6,0.00181,1.5413,0.4577
351.3,912.2,302.0,5468.3,2410.0,552.4,9.74,favourit[counter_on],6,0.00181,1.5413,0.4577
351.3,912.2,302.0,5468.3,2410.0,552.4,9.74,favourit[max_stack],6,0.00181,1.5413,0.4577
370.7,,303.9,5466.8,2869.2,397.1,9.33,trickme[default],5,0.00375,1.8077,0.4772
370.7,975.4,303.9,5466.8,2869.2,397.1,9.37,trickme[counter_on],6,0.00495,1.9356,0.4821
370.7,975.4,303.9,5466.8,2697.9,397.1,10.24,trickme[max_stack],6,0.00098,1.7133,0.4711
419.4,,304.5,5465.8,2485.0,430.0,9.08,renegade[default],5,0.00471,1.6692,0.4708
419.4,762.0,304.5,5465.8,2485.0,430.0,9.06,renegade[counter_on],6,0.00611,1.716,0.4742
419.4,762.0,304.5,5465.8,2351.7,430.0,9.71,renegade[max_stack],6,0.00086,1.4893,0.4536
454.3,,306.1,5466.3,2924.5,444.0,8.84,onelovev_2[default],5,0.00391,1.5425,0.4586
454.3,1105.7,306.1,5466.3,2924.5,444.0,8.77,onelovev_2[counter_on],6,0.00633,1.6056,0.4627
454.3,1105.7,306.1,5466.3,2751.4,444.0,9.56,onelovev_2[max_stack],6,0.00103,1.4897,0.4529
433.9,1312.1,302.7,5465.1,2898.3,524.8,9.98,dontspea[default],6,0.00071,1.4075,0.4463
433.9,1312.1,302.7,5465.1,2898.3,524.8,9.98,dontspea[counter_on],6,0.00071,1.4075,0.4463
433.9,1312.1,302.7,5465.1,2898.3,524.8,9.98,dontspea[max_stack],6,0.00071,1.4075,0.4463
368.6,812.4,304.4,5466.0,2424.7,324.7,9.58,thanewtr[default],6,0.00194,1.6179,0.4636
368.6,812.4,304.4,5466.0,2424.7,324.7,9.58,thanewtr[counter_on],6,0.00194,1.6179,0.4636
368.6,812.4,304.4,5466.0,2424.7,324.7,9.58,thanewtr[max_stack],6,0.00194,1.6179,0.4636
362.2,1181.5,303.3,5465.5,2522.1,650.3,9.69,dudu[default],6,0.0013,1.4604,0.4535
362.2,1181.5,303.3,5465.5,2522.1,650.3,9.69,dudu[counter_on],6,0.0013,1.4604,0.4535
362.2,1181.5,303.3,5465.5,2522.1,650.3,9.69,dudu[max_stack],6,0.0013,1.4604,0.4535
383.7,850.1,303.4,5465.0,2459.0,488.0,9.51,summerra[default],6,0.00135,1.4902,0.4529
383.7,850.1,303.4,5465.0,2459.0,488.0,9.51,summerra[counter_on],6,0.00135,1.4902,0.4529
383.7,850.1,303.4,5465.0,2459.0,488.0,9.51,summerra[max_stack],6,0.00135,1.4902,0.4529
393.0,,303.2,5465.0,2908.9,541.6,10.0,voyagevo[default],5,0.00265,1.7058,0.4695
393.0,1064.2,303.2,5465.0,2908.9,541.6,10.04,voyagevo[counter_on],6,0.00347,1.795,0.4741
393.0,1064.2,303.2,5465.0,2761.2,541.6,10.38,voyagevo[max_stack],6,0.00064,1.4515,0.4498
382.0,,303.1,5467.6,2995.8,461.2,9.72,har_en_drom[default],5,0.0042,1.684,0.4693
382.0,1125.1,303.1,5467.6,2995.8,461.2,9.83,har_en_drom[counter_on],6,0.0051,1.8192,0.4764
382.0,1125.1,303.1,5467.6,2818.1,461.2,10.02,har_en_drom[max_stack],6,0.00053,1.4334,0.4465
436.4,,302.1,5465.1,2613.6,463.4,10.53,allyouwa[default],5,0.00264,1.6658,0.4665
436.4,885.2,302.1,5465.1,2613.6,463.4,10.48,allyouwa[counter_on],6,0.00299,1.6517,0.4692
436.4,885.2,302.1,5465.1,2460.0,463.4,10.9,allyouwa[max_stack],6,0.00048,1.4194,0.445
403.1,1180.3,304.2,5464.8,2568.5,527.4,10.01,runaway1[default],6,0.00145,1.5156,0.4561
403.1,1180.3,304.2,5464.8,2568.5,527.4,10.01,runaway1[counter_on],6,0.00145,1.5156,0.4561
403.1,1180.3,304.2,5464.8,2568.5,527.4,10.01,runaway1[max_stack],6,0.00145,1.5156,0.4561
425.3,,303.8,5466.9,2824.9,440.3,8.3,hereandn[default],5,0.00424,1.6032,0.4648
425.3,1008.2,303.8,5466.9,2824.9,440.3,8.24,hereandn[counter_on],6,0.00529,1.5941,0.4649
425.3,1008.2,303.8,5466.9,2682.7,440.3,9.29,hereandn[max_stack],6,0.00103,1.4032,0.4474
413.9,,303.6,5463.7,2773.9,449.2,9.1,flyonthe_6[default],5,0.00518,1.6312,0.4668
413.9,1093.4,303.6,5463.7,2773.9,449.2,9.14,flyonthe_6[counter_on],6,0.00619,1.7437,0.4731
413.9,1093.4,303.6,5463.7,2632.6,449.2,9.49,flyonthe_6[max_stack],6,0.00123,1.5389,0.4563
401.5,1093.0,303.3,5462.3,2759.2,549.9,10.29,gangstal_3[default],6,0.00114,1.523,0.4549
401.5,1093.0,303.3,5462.3,2759.2,549.9,10.29,gangstal_3[counter_on],6,0.00114,1.523,0.4549
401.5,1093.0,303.3,5462.3,2759.2,549.9,10.29,gangstal_3[max_stack],6,0.00114,1.523,0.4549
421.9,741.1,303.3,5465.6,2178.1,433.9,10.92,star[default],6,0.00078,1.498,0.4527
421.9,741.1,303.3,5465.6,2178.1,433.9,10.92,star[counter_on],6,0.00078,1.498,0.4527
421.9,741.1,303.3,5465.6,2178.1,433.9,10.92,star[max_stack],6,0.00078,1.498,0.4527
351.0,,302.1,5465.2,2713.3,484.2,9.23,whatitfe[default],5,0.00344,1.674,0.4676
351.0,1003.4,302.1,5465.2,2713.3,484.2,9.25,whatitfe[counter_on],6,0.00498,1.7693,0.4727
351.0,1003.4,302.1,5465.2,2560.7,484.2,9.88,whatitfe[max_stack],6,0.00113,1.5272,0.4557
419.8,,303.4,5465.6,2668.9,496.0,9.39,bohemian_4[default],5,0.00381,1.7063,0.4703
419.8,1022.9,303.4,5465.6,2668.9,496.0,9.36,bohemian_4[counter_on],6,0.00491,1.7489,0.4728
419.8,1022.9,303.4,5465.6,2515.2,496.0,9.7,bohemian_4[max_stack],6,0.00087,1.4576,0.4503
446.1,1153.0,303.6,5464.6,3018.1,686.9,9.9,fullmoon_2[default],6,0.00142,1.5943,0.4629
446.1,1153.0,303.6,5464.6,3018.1,686.9,9.9,fullmoon_2[counter_on],6,0.00142,1.5943,0.4629
446.1,1153.0,303.6,5464.6,3018.1,686.9,9.9,fullmoon_2[max_stack],6,0.00142,1.5943,0.4629
370.3,,304.3,5465.3,2549.7,369.9,9.2,wereonth[default],5,0.00311,1.5992,0.4633
370.3,769.9,304.3,5465.3,2549.7,369.9,9.19,wereonth[counter_on],6,0.00375,1.6277,0.4658
370.3,769.9,304.3,5465.3,2412.7,369.9,10.05,wereonth[max_stack],6,0.00068,1.3816,0.441
420.1,782.1,302.8,5467.0,2467.0,404.7,9.89,thebest[default],6,0.00109,1.4343,0.4481
420.1,782.1,302.8,5467.0,2467.0,404.7,9.89,thebest[counter_on],6,0.00109,1.4343,0.4481
420.1,782.1,302.8,5467.0,2467.0,404.7,9.89,thebest[max_stack],6,0.00109,1.4343,0.4481
391.5,,303.7,5467.1,2453.3,432.6,9.41,belgi[default],5,0.00545,1.7033,0.4703
391.5,793.7,303.7,5467.1,2453.3,432.6,9.34,belgi[counter_on],6,0.00711,1.7598,0.4724
391.5,793.7,303.7,5467.1,2343.5,432.6,10.19,belgi[max_stack],6,0.001,1.5832,0.4607
480.7,1312.0,303.5,5463.7,2697.2,724.3,9.56,natrul[default],6,0.00167,1.5059,0.4548
480.7,1312.0,303.5,5463.7,2697.2,724.3,9.56,natrul[counter_on],6,0.00167,1.5059,0.4548
480.7,1312.0,303.5,5463.7,2697.2,724.3,9.56,natrul[max_stack],6,0.00167,1.5059,0.4548
458.6,714.1,304.5,5465.4,2440.9,470.0,9.84,rainyday_2[default],6,0.00129,1.475,0.4561
458.6,714.1,304.5,5465.4,2440.9,470.0,9.84,rainyday_2[counter_on],6,0.00129,1.475,0.4561
458.6,714.1,304.5,5465.4,2440.9,470.0,9.84,rainyday_2[max_stack],6,0.00129,1.475,0.4561
357.7,,302.2,5465.0,2626.6,450.5,10.7,you_llne[default],5,0.002,1.5933,0.4621
357.7,849.5,302.2,5465.0,2626.6,450.5,10.6,you_llne[counter_on],6,0.00301,1.6233,0.4666
357.7,849.5,302.2,5465.0,2484.1,450.5,10.96,you_llne[max_stack],6,0.0004,1.4554,0.4509
404.9,,304.4,5467.1,2586.7,444.6,9.0,gowest[default],5,0.0041,1.6518,0.4695
404.9,917.6,304.4,5467.1,2586.7,444.6,8.99,gowest[counter_on],6,0.00589,1.7344,0.4743
404.9,917.6,304.4,5467.1,2447.5,444.6,9.75,gowest[max_stack],6,0.00111,1.5258,0.4562
408.5,,304.2,5464.3,2824.4,648.3,8.88,dextersl[default],5,0.00618,1.7895,0.4753
408.5,1112.1,304.2,5464.3,2824.4,648.3,8.85,dextersl[counter_on],6,0.00744,1.8461,0.4777
408.5,1112.1,304.2,5464.3,2653.8,648.3,9.5,dextersl[max_stack],6,0.0017,1.6397,0.4641
351.2,655.4,303.2,5464.9,2070.3,436.3,10.02,rendevou[default],6,0.00108,1.5109,0.4538
351.2,655.4,303.2,5464.9,2070.3,436.3,10.02,rendevou[counter_on],6,0.00108,1.5109,0.4538
351.2,655.4,303.2,5464.9,2070.3,436.3,10.02,rendevou[max_stack],6,0.00108,1.5109,0.4538
457.4,,302.9,5465.7,2751.0,467.5,9.41,myway_2[default],5,0.00433,1.7446,0.4708
457.4,1069.1,302.9,5465.7,2751.0,467.5,9.37,myway_2[counter_on],6,0.00534,1.7487,0.4713
457.4,1069.1,302.9,5465.7,2601.0,467.5,10.22,myway_2[max_stack],6,0.00086,1.5088,0.455
434.5,733.1,302.8,5466.0,2229.5,395.8,10.11,thewayia[default],6,0.00122,1.5528,0.459
434.5,733.1,302.8,5466.0,2229.5,395.8,10.11,thewayia[counter_on],6,0.00122,1.5528,0.459
434.5,733.1,302.8,5466.0,2229.5,395.8,10.11,thewayia[max_stack],6,0.00122,1.5528,0.459
348.2,934.2,303.0,5468.1,2640.0,470.1,10.0,aintnosu_2[default],6,0.00131,1.5164,0.4548
348.2,934.2,303.0,5468.1,2640.0,470.1,10.0,aintnosu_2[counter_on],6,0.00131,1.5164,0.4548
348.2,934.2,303.0,5468.1,2640.0,470.1,10.0,aintnosu_2[max_stack],6,0.00131,1.5164,0.4548
348.3,765.4,303.8,5464.3,2397.8,518.8,9.96,yaketyya[default],6,0.00126,1.6139,0.4622
348.3,765.4,303.8,5464.3,2397.8,518.8,9.96,yaketyya[counter_on],6,0.00126,1.6139,0.4622
348.3,765.4,303.8,5464.3,2397.8,518.8,9.96,yaketyya[max_stack],6,0.00126,1.6139,0.4622
470.1,,305.5,5463.7,2916.4,468.3,10.08,theme_186[default],5,0.00336,1.6361,0.4661
470.1,1172.5,305.5,5463.7,2916.4,468.3,10.09,theme_186[counter_on],6,0.00491,1.7493,0.4736
470.1,1172.5,305.5,5463.7,2770.0,468.3,9.98,theme_186[max_stack],6,0.00073,1.4045,0.4454
373.5,,303.9,5465.8,2974.9,439.8,8.58,theme_97[default],5,0.00518,1.669,0.4675
373.5,878.3,303.9,5465.8,2974.9,439.8,8.6,theme_97[counter_on],6,0.00675,1.767,0.473
373.5,878.3,303.9,5465.8,2803.8,439.8,9.58,theme_97[max_stack],6,0.0011,1.5048,0.4533
417.5,,302.6,5466.3,2881.1,818.4,10.04,livefore[default],5,0.0032,1.6571,0.4676
417.5,1243.5,302.6,5466.3,2881.1,818.4,9.99,livefore[counter_on],6,0.00409,1.7111,0.4714
417.5,1243.5,302.6,5466.3,2709.9,818.4,9.91,livefore[max_stack],6,0.00096,1.5427,0.4571
430.5,,301.6,5465.6,2636.1,471.6,9.68,newzeala[default],5,0.00442,1.7186,0.4712
430.5,922.8,301.6,5465.6,2636.1,471.6,9.56,newzeala[counter_on],6,0.00594,1.6994,0.4726
430.5,922.8,301.6,5465.6,2489.2,471.6,10.14,newzeala[max_stack],6,0.00066,1.4392,0.4471
381.6,731.3,304.2,5464.8,2162.3,396.1,10.38,younever[default],6,0.00128,1.5693,0.4587
381.6,731.3,304.2,5464.8,2162.3,396.1,10.38,younever[counter_on],6,0.00128,1.5693,0.4587
381.6,731.3,304.2,5464.8,2162.3,396.1,10.38,younever[max_stack],6,0.00128,1.5693,0.4587
489.1,1344.9,302.1,5466.6,2917.6,766.4,9.75,kisskiss_2[default],6,0.00183,1.6275,0.4631
489.1,1344.9,302.1,5466.6,2917.6,766.4,9.75,kisskiss_2[counter_on],6,0.00183,1.6275,0.4631
489.1,1344.9,302.1,5466.6,2917.6,766.4,9.75,kisskiss_2[max_stack],6,0.00183,1.6275,0.4631
379.8,1177.3,303.6,5465.2,2831.4,454.4,10.26,sensatio[default],6,0.00188,1.6292,0.4633
379.8,1177.3,303.6,5465.2,2831.4,454.4,10.26,sensatio[counter_on],6,0.00188,1.6292,0.4633
379.8,1177.3,303.6,5465.2,2831.4,454.4,10.26,sensatio[max_stack],6,0.00188,1.6292,0.4633
387.4,1043.8,302.9,5465.1,2695.5,495.6,9.95,estudyan[default],6,0.00137,1.5164,0.4551
387.4,1043.8,302.9,5465.1,2695.5,495.6,9.95,estudyan[counter_on],6,0.00137,1.5164,0.4551
387.4,1043.8,302.9,5465.1,2695.5,495.6,9.95,estudyan[max_stack],6,0.00137,1.5164,0.4551
404.4,,305.6,5466.3,2641.0,332.3,9.23,somewher[default],5,0.0052,1.737,0.4722
404.4,876.2,305.6,5466.3,2641.0,332.3,9.19,somewher[counter_on],6,0.00639,1.7724,0.474
404.4,876.2,305.6,5466.3,2522.1,332.3,9.65,somewher[max_stack],6,0.00098,1.4917,0.4525
377.2,1094.7,303.5,5463.7,2568.9,504.1,9.75,unknown_68[default],6,0.0015,1.5034,0.4541
377.2,1094.7,303.5,5463.7,2568.9,504.1,9.75,unknown_68[counter_on],6,0.0015,1.5034,0.4541
377.2,1094.7,303.5,5463.7,2568.9,504.1,9.75,unknown_68[max_stack],6,0.0015,1.5034,0.4541
429.4,1011.2,303.1,5466.3,2538.3,410.0,9.75,alvinand[default],6,0.00171,1.5974,0.4613
429.4,1011.2,303.1,5466.3,2538.3,410.0,9.75,alvinand[counter_on],6,0.00171,1.5974,0.4613
429.4,1011.2,303.1,5466.3,2538.3,410.0,9.75,alvinand[max_stack],6,0.00171,1.5974,0.4613
